# Edge list,,
1,2,2
1,3,2
1,4,1
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
2,3,2
2,4,2
2,6,2
2,7,2
2,8,2
3,4,2
3,5,2
3,6,1
3,7,1
3,8,2
3,9,2
3,10,2
3,11,2
3,12,2
3,13,2
4,5,2
4,6,2
4,7,2
4,9,2
4,10,2
4,11,2
4,12,2
4,13,2
5,6,2
5,7,2
5,8,2
5,9,2
5,10,2
5,11,2
5,12,2
5,13,2
6,7,2
6,8,2
6,9,2
6,10,2
6,11,2
6,12,2
6,13,2
7,8,2
7,9,2
7,10,2
7,11,2
7,12,2
7,13,2
8,9,2
8,10,2
8,11,2
8,12,2
8,13,2
9,10,2
9,11,2
9,12,2
9,13,2
9,14,3
9,15,3
9,16,3
9,17,3
9,18,3
10,11,1
10,12,2
10,13,2
11,12,2
11,13,2
12,13,1
14,15,2
14,16,2
14,18,2
15,16,2
15,18,2
16,17,2
16,18,2
17,18,2
