"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
0,0.011569,0.012975,0.010333,0.014081,0.012567,0.016168,0.0067489,0.0099021,0.012488,0.030603,0.0063126,0.012243,0.0045347,0.025345,0.013318,0.01077,0.012014
0.011569,0,0.02233,0.01055,0.00718,0.021356,0.012117,0.0033687,0.0044068,0.0044525,0.016308,0.0033255,0.015818,0.0037752,0.017526,0.0047335,0.0064601,0.0065907
0.012975,0.02233,0,0.0036562,0.0074994,0.030401,0.0093761,0.011075,0.012282,0.0089081,0.013318,0.0042739,0.020988,0.0055682,0.030076,0.0090869,0.0062666,0.0067651
0.010333,0.01055,0.0036562,0,0.007085,0.023903,0.0037967,0.00062612,0.0019133,0.00849,0.0074915,0.0056682,0.017512,0.005909,0.0046234,0.011476,0.0049642,0.0023065
0.014081,0.00718,0.0074994,0.007085,0,0.012334,0.0050704,0.0047599,0.016219,0.015982,0.0060424,0.005258,0.022202,0.0069966,0.020802,0.0075371,0.0097665,0.0070108
0.012567,0.021356,0.030401,0.023903,0.012334,0,0.029245,0.037713,0.0601,0.016156,0.015378,0.015923,0.018306,0.0090422,0.030898,0.0082462,0.019133,0.013774
0.016168,0.012117,0.0093761,0.0037967,0.0050704,0.029245,0,0.0021662,0.0093045,0.0028933,0.0075428,0.001359,0.011976,0.004219,0.005754,0.006251,0.0044158,0.005896
0.0067489,0.0033687,0.011075,0.00062612,0.0047599,0.037713,0.0021662,0,0.002769,0.0053225,0.0089907,0.00098601,0.011028,0.0031733,0.011989,0.0031733,0.004682,0.0032356
0.0099021,0.0044068,0.012282,0.0019133,0.016219,0.0601,0.0093045,0.002769,0,0.0067731,0.0065375,0.008871,0.020143,0.00054555,0.0090697,0.013648,0.006464,0.0058369
0.012488,0.0044525,0.0089081,0.00849,0.015982,0.016156,0.0028933,0.0053225,0.0067731,0,0.01487,0.0066752,0.0074758,0.0056976,0.018245,0.0049234,0.0043848,0.0068794
0.030603,0.016308,0.013318,0.0074915,0.0060424,0.015378,0.0075428,0.0089907,0.0065375,0.01487,0,0.0072278,0.029181,0.0061891,0.0032811,0.01407,0.0088825,0.0040008
0.0063126,0.0033255,0.0042739,0.0056682,0.005258,0.015923,0.001359,0.00098601,0.008871,0.0066752,0.0072278,0,0.0068319,0.0033498,0.0093534,0.001696,0.0035302,0.0015293
0.012243,0.015818,0.020988,0.017512,0.022202,0.018306,0.011976,0.011028,0.020143,0.0074758,0.029181,0.0068319,0,0.0088488,0.0048066,0.0093169,0.01643,0.0076169
0.0045347,0.0037752,0.0055682,0.005909,0.0069966,0.0090422,0.004219,0.0031733,0.00054555,0.0056976,0.0061891,0.0033498,0.0088488,0,0.0074368,0.0075286,0.0019037,0.0069294
0.025345,0.017526,0.030076,0.0046234,0.020802,0.030898,0.005754,0.011989,0.0090697,0.018245,0.0032811,0.0093534,0.0048066,0.0074368,0,0.012695,0.0055841,0.009022
0.013318,0.0047335,0.0090869,0.011476,0.0075371,0.0082462,0.006251,0.0031733,0.013648,0.0049234,0.01407,0.001696,0.0093169,0.0075286,0.012695,0,0.009483,0.0064753
0.01077,0.0064601,0.0062666,0.0049642,0.0097665,0.019133,0.0044158,0.004682,0.006464,0.0043848,0.0088825,0.0035302,0.01643,0.0019037,0.0055841,0.009483,0,0.0066834
0.012014,0.0065907,0.0067651,0.0023065,0.0070108,0.013774,0.005896,0.0032356,0.0058369,0.0068794,0.0040008,0.0015293,0.0076169,0.0069294,0.009022,0.0064753,0.0066834,0
